i,a,b,title,type,year,final,motivo,evidencia,flags
119,SZA,Drake,Slime You Out,song,2023,SUSPEITA,"Slime You Out real porém flag dup_of_11, possível duplicata",,dup_of_11
137,Calvin Harris,Pharrell Williams,Feels,live,2017,SUSPEITA,"versão live com flag dup_of_136, possível duplicata",,dup_of_136
151,Metro Boomin,Future,Heroes & Villains,album,2022,SUSPEITA,"flag dup_of_149, possível duplicata",,dup_of_149
178,Cardi B,Bruno Mars,Finesse (Remix),song,2018,SUSPEITA,"Finesse Remix real porém flag dup_of_109, possível duplicata",,dup_of_109
229,Sia,David Guetta,Titanium,song,2011,SUSPEITA,possível duplicata de 212,,dup_of_212
242,Swae Lee,Post Malone,Sunflower,song,2018,SUSPEITA,possível duplicata de 93,,dup_of_93
246,Mac Miller,Anderson .Paak,Dang!,song,2016,SUSPEITA,possível duplicata de 154,,dup_of_154
248,Chance the Rapper,Kanye West,Ultralight Beam,song,2016,SUSPEITA,possível duplicata de 24,,dup_of_24
420,Bryson Tiller,Rihanna,Wild Thoughts,song,2017,SUSPEITA,possível duplicata (dup_of_418),,dup_of_418
477,DJ Snake,Major Lazer,Lean On,song,2015,SUSPEITA,possível duplicata,,dup_of_206
597,The 1975,Phoebe Bridgers,Jesus Christ 2005 God Bless America,song,2020,SUSPEITA,possível duplicata (dup_of_452),,dup_of_452
602,Caetano Veloso,Gilberto Gil,"Dois Amigos, Um Século de Música",dvd,2016,SUSPEITA,possível duplicata (dup_of_584),,dup_of_584
619,Wesley Safadão,Anitta,Romance Com Safadeza,song,2016,SUSPEITA,possível duplicata (dup_of_582),,dup_of_582
655,Titãs,Os Paralamas do Sucesso,Titãs e Os Paralamas Juntos,live,2009,SUSPEITA,possível duplicata de 654,,dup_of_654
683,Caetano Veloso,Maria Bethânia,Caetano e Bethânia ao Vivo,live,1978,SUSPEITA,possível duplicata (dup_of_585),,dup_of_585
719,Jorge Ben Jor,Gilberto Gil,"Gil e Jorge (Ogum, Xangô)",album,1975,SUSPEITA,possível duplicata (dup_of_587),,dup_of_587
781,Anitta,Ludmilla,Onda Diferente,song,2018,SUSPEITA,possível duplicata (dup_of_563),,dup_of_563
799,Swedish House Mafia,The Weeknd,Moth To A Flame,song,2021,SUSPEITA,possível duplicata (dup_of_465),,dup_of_465
846,Myke Towers,Bad Bunny,Estamos Arriba,song,2021,SUSPEITA,possível duplicata (dup_of_502),,dup_of_502
852,SZA,Doja Cat,Kiss Me More,feature,2021,SUSPEITA,possível duplicata (dup_of_120),,dup_of_120
853,SZA,Drake,Slime You Out,feature,2023,SUSPEITA,possível duplicata (dup_of_11),,dup_of_11
864,Madonna,Nicki Minaj,Bitch I'm Madonna,feature,2015,SUSPEITA,possível duplicata (dup_of_546),,dup_of_546
865,Madonna,Maluma,Medellín,feature,2019,SUSPEITA,possível duplicata (dup_of_547),,dup_of_547
867,Mariah Carey,Snoop Dogg,Crybaby,feature,1999,SUSPEITA,possível duplicata (dup_of_284),,dup_of_284
936,Tems,Future,Wait for U,song,2022,SUSPEITA,possível duplicata (dup_of_514),,dup_of_514
1001,Fireboy DML,Ed Sheeran,Peru (Remix),remix,2021,SUSPEITA,possível duplicata (dup_of_526),,dup_of_526
1410,Anitta,MC Zaac,Desce Pro Play (Pa Pa Pa),song,2017,SUSPEITA,possível duplicata (dup_of_566),,dup_of_566
1450,MC Kevinho,Léo Santana,Encaixa,song,2018,SUSPEITA,possível duplicata (dup_of_578),,dup_of_578
1791,Wesley Safadão,Claudia Leitte,Camarote,song,2017,SUSPEITA,possível duplicata (dup_of_1552),,dup_of_1552
1915,Anitta,Cardi B,Me Gusta,song,2021,SUSPEITA,possível duplicata (dup_of_315),,dup_of_315
2047,Olodum,Daniela Mercury,O Canto da Cidade,song,2014,SUSPEITA,possível duplicata (dup_of_1776),,dup_of_1776
2129,Emicida,Caetano Veloso,AmarElo,song,2019,SUSPEITA,possível duplicata (dup_of_670),,dup_of_670
2312,Anitta,Maluma,El Que Espera,song,2018,SUSPEITA,dup_of_1709 possível duplicata,,dup_of_1709
2442,Jão,Anitta,Pilantra,song,2020,SUSPEITA,possível duplicata (dup_of_915),,dup_of_915
2449,MC Fioti,J. Balvin,Bum Bum Tam Tam,song,2018,SUSPEITA,possível duplicata (dup_of_1559),,dup_of_1559
2479,Gusttavo Lima,Henrique & Juliano,Apelido Carinhoso,song,2020,SUSPEITA,possível duplicata (dup_of_2013),,dup_of_2013
2599,Anitta,Ludmilla,Cheia de Marra,song,2015,SUSPEITA,possível duplicata (dup_of_1409),,dup_of_1409
2772,Fundo de Quintal,Zeca Pagodinho,Ao Vivo,live,2008,SUSPEITA,dup_of_2289; possível duplicata,,generic_title;dup_of_2289
2891,Luke Combs,Miranda Lambert,Outrunnin' Your Memory,song,2021,SUSPEITA,possível duplicata (dup_of_543),,dup_of_543
2935,Reba McEntire,brooks_and_dunn_official,If You See Him / If You See Her,album,1998,SUSPEITA,possível duplicata (dup_of_2914),,dup_of_2914
2943,Kacey Musgraves,Willie Nelson,Are You Sure,song,2020,SUSPEITA,possível duplicata (dup_of_542),,dup_of_542
3027,Jason Aldean,Luke Bryan,The Only Way I Know,feature,2012,SUSPEITA,possível duplicata (dup_of_2989),,dup_of_2989
3076,Beyoncé,Miley Cyrus,II Most Wanted,song,2024,SUSPEITA,possivel duplicata (dup_of_42),,dup_of_42
3130,Sean Paul,Dua Lipa,No Lie,song,2017,SUSPEITA,possivel duplicata (dup_of_328),,dup_of_328
3195,Luis Fonsi,Justin Bieber,Despacito (Remix),remix,2017,SUSPEITA,"dup_of_331, possível duplicata",,dup_of_331
3301,Calvin Harris,Ellie Goulding,I Need Your Love,song,2012,SUSPEITA,possível duplicata,,dup_of_365
3502,Black Coffee,Pharrell Williams,10 Missed Calls,song,2023,SUSPEITA,possível duplicata (dup_of_944),,dup_of_944
3503,Black Coffee,David Guetta,Drive,song,2023,SUSPEITA,possível duplicata (dup_of_942),,dup_of_942
3533,Major Lazer,Showtek,Believer,song,2015,SUSPEITA,possível duplicata (dup_of_487),,dup_of_487
3608,David Guetta,Ne-Yo,Play Hard,song,2013,SUSPEITA,possível duplicata (dup_of_3289),,dup_of_3289
3620,David Guetta,Bebe Rexha,Say My Name,song,2018,SUSPEITA,possível duplicata (dup_of_3290),,dup_of_3290
3624,DJ Snake,Bipolar Sunshine,Middle,song,2015,SUSPEITA,possível duplicata (dup_of_3409),,dup_of_3409
3627,DJ Snake,Tyga,Enzo,song,2018,SUSPEITA,"possível duplicata (dup_of_3407), Tyga em 'Enzo'",,dup_of_3407
3628,DJ Snake,French Montana,Enzo,song,2018,SUSPEITA,possível duplicata (dup_of_3408),,dup_of_3408
4031,Alan Walker,Noah Cyrus,All Falls Down,song,2017,SUSPEITA,possível duplicata (dup_of_3479),,dup_of_3479
4073,Angèle,Roméo Elvis,Tout oublier,song,2017,SUSPEITA,possível duplicata (dup_of_3655),,dup_of_3655
4844,Rosalía,Billie Eilish,Lo Vas a Olvidar,song,2021,SUSPEITA,possível duplicata (dup_of_238),,dup_of_238
4845,Rosalía,Bad Bunny,La Noche de Anoche,song,2021,SUSPEITA,possível duplicata (dup_of_106),,dup_of_106
4846,Rosalía,Rauw Alejandro,Beso,song,2022,SUSPEITA,possível duplicata (dup_of_499),,dup_of_499
4929,Biagio Antonacci,Laura Pausini,Il coraggio di andare,song,2015,SUSPEITA,possível duplicata (dup_of_4797),,dup_of_4797
5017,Nicky Jam,Enrique Iglesias,El Perdón,song,2015,SUSPEITA,possível duplicata (dup_of_497),,dup_of_497
5073,CL,Diplo,Doctor Pepper,song,2014,SUSPEITA,dup_of_535 possível duplicata,,dup_of_535
5188,Rich Brian,NIKI,California,song,2020,SUSPEITA,possível duplicata,,dup_of_818
5269,Grupo Frontera,Bad Bunny,un x100to,song,2023,SUSPEITA,possível duplicata (dup_of_334),,dup_of_334
5426,Rosalía,C. Tangana,Antes de Morirme,song,2018,SUSPEITA,possível duplicata (dup_of_4829),,dup_of_4829
5430,Feid,Karol G,Friki,song,2022,SUSPEITA,possível duplicata (dup_of_501),,dup_of_501
5464,Anitta,Maluma,El Que Espera,song,2022,SUSPEITA,possível duplicata (dup_of_1709),,dup_of_1709
5492,Beyoncé,Nicki Minaj,Feeling Myself,song,2015,SUSPEITA,possível duplicata,,dup_of_41
5496,Rihanna,David Guetta,Who's That Chick,song,2010,SUSPEITA,possível duplicata,,dup_of_3293
5536,Sam Smith,Normani,Dancing with a Stranger,song,2019,SUSPEITA,possível duplicata,,dup_of_256
5541,Charlie Puth,Kehlani,Done for Me,song,2018,SUSPEITA,possível duplicata,,dup_of_426
5557,Chris Brown,Pitbull,International Love,song,2012,SUSPEITA,possível duplicata,,dup_of_235
5567,Coldplay,Rihanna,Princess of China,song,2011,SUSPEITA,possível duplicata,,dup_of_142
5593,Khalid,Billie Eilish,lovely,song,2018,SUSPEITA,possível duplicata (dup_of),,dup_of_237
5604,David Guetta,Usher,Without You,song,2010,SUSPEITA,possível duplicata (dup_of),,dup_of_3285
5608,Diplo,Justin Bieber,Where Are U Now,song,2015,SUSPEITA,possível duplicata (dup_of),,dup_of_207
5646,Flo Rida,Sia,Wild Ones,song,2011,SUSPEITA,possível duplicata (dup_of),,dup_of_287
5651,Kehlani,Cardi B,Ring,song,2018,SUSPEITA,possível duplicata (dup_of),,dup_of_425
5657,Post Malone,21 Savage,Rockstar,song,2017,SUSPEITA,possível duplicata (dup_of),,dup_of_97
5668,Nelly,Tim McGraw,Over and Over,song,2004,SUSPEITA,possível duplicata (dup_of),,dup_of_2869
5701,Marshmello,Anne-Marie,Friends,song,2018,SUSPEITA,possível duplicata (dup_of_380),,dup_of_380
5764,Regard,Troye Sivan,You,song,2020,SUSPEITA,possível duplicata,,dup_of_4026
5766,Meduza,Becky Hill,Lose Control,song,2019,SUSPEITA,possível duplicata,,dup_of_3493
5792,Bad Bunny,J. Balvin,OASIS,ep,2019,SUSPEITA,possível duplicata,,dup_of_104
5801,Bad Bunny,Rauw Alejandro,Party,song,2021,SUSPEITA,possível duplicata,,dup_of_500
5805,J. Balvin,Dua Lipa,Un Día (One Day),song,2020,SUSPEITA,possível duplicata,,dup_of_5511
5828,Ozuna,Romeo Santos,El Farsante (remix),remix,2017,SUSPEITA,possível duplicata,,dup_of_837
5844,Maluma,Shakira,Clandestino,song,2017,SUSPEITA,possível duplicata,,dup_of_5619
5845,Maluma,The Weeknd,Hawái (remix),remix,2020,SUSPEITA,possível duplicata,,dup_of_319
5857,Karol G,Becky G,MAMIII,song,2022,SUSPEITA,possível duplicata (dup_of_318),,dup_of_318
5898,Rauw Alejandro,Camilo,Tattoo (remix),remix,2021,SUSPEITA,possível duplicata (dup_of_841),,dup_of_841
5899,Sech,Jhay Cortez,Relación,remix,2020,SUSPEITA,possível duplicata (dup_of_5775),,dup_of_5775
5944,Enrique Iglesias,Pitbull,I Like It,song,2014,SUSPEITA,possível duplicata (dup_of_5561),,dup_of_5561
5947,Luis Fonsi,Demi Lovato,Échame La Culpa,song,2017,SUSPEITA,possível duplicata (dup_of_332),,dup_of_332
5952,Prince Royce,Shakira,Deja Vu,song,2017,SUSPEITA,possível duplicata (dup_of_5706),,dup_of_5706
5956,Reik,Maluma,Amigos Con Derechos,song,2019,SUSPEITA,possível duplicata (dup_of_5378),,dup_of_5378
5957,Reik,Ozuna,Me Niego,song,2017,SUSPEITA,possível duplicata (dup_of_5380),,dup_of_5380
5980,Anitta,Maluma,El Que Espera,song,2020,SUSPEITA,possível duplicata (dup_of_1709),,dup_of_1709
5993,Lunay,Daddy Yankee,Soltera (remix),remix,2019,SUSPEITA,possível duplicata (dup_of_5773),,dup_of_5773
6018,Beyoncé,J. Balvin,Mi Gente (remix),remix,2017,SUSPEITA,possível duplicata (dup_of_5615),,dup_of_5615
6072,Linkin Park,Jay-Z,Collision Course,ep,2004,SUSPEITA,possível duplicata (dup_of_454),,dup_of_454
6074,Lana Del Rey,The Weeknd,Lust for Life,song,2017,SUSPEITA,possível duplicata (dup_of_858),,dup_of_858
6234,Måneskin,Iggy Pop,I Wanna Be Your Slave (remix),song,2021,SUSPEITA,possível duplicata (dup_of_5013),,dup_of_5013
6434,Mary J. Blige,Jay-Z,Can't Knock the Hustle,feature,1996,SUSPEITA,possível duplicata,,dup_of_5664
6435,Alicia Keys,Usher,My Boo,feature,2004,SUSPEITA,possível duplicata,,dup_of_225
6436,John Legend,Kanye West,Blame Game,feature,2010,SUSPEITA,possível duplicata,,dup_of_224
6442,Janet Jackson,Busta Rhymes,What's It Gonna Be?!,feature,1999,SUSPEITA,possível duplicata,,dup_of_5675
6444,Kanye West,Common,Southside,song,2005,SUSPEITA,possível duplicata,,dup_of_6439
6447,Missy Elliott,Beyoncé,Check On It,feature,2006,SUSPEITA,possível duplicata,,dup_of_5666
6513,Maceo Parker,James Brown,Soul Power,live,1991,SUSPEITA,possível duplicata (dup_of_6371),,dup_of_6371
6553,Central Cee,Lil Baby,Band4Band,song,2023,SUSPEITA,possível duplicata (dup_of_410),,dup_of_410
6566,Dua Lipa,Angèle,Fever,song,2020,SUSPEITA,possível duplicata (dup_of_3658),,dup_of_3658
6669,Tiësto,sevenn,BOOM!,song,2017,SUSPEITA,possível duplicata (dup_of_4066),,dup_of_4066
6772,Drake,Future,What a Time to Be Alive,mixtape,2015,SUSPEITA,possível duplicata (dup_of_4),,dup_of_4
6776,Drake,Travis Scott,Sicko Mode,song,2018,SUSPEITA,possível duplicata (dup_of_9),,dup_of_9
6798,Future,Juice WRLD,WRLD on Drugs,mixtape,2018,SUSPEITA,possível duplicata (dup_of_173),,dup_of_173
6803,Future,Nicki Minaj,You Da Baddest,song,2017,SUSPEITA,possível duplicata (dup_of_85),,dup_of_85
6805,Metro Boomin,21 Savage,Savage Mode,ep,2016,SUSPEITA,possível duplicata (dup_of_604),,dup_of_604
6841,Offset,Metro Boomin,Without Warning,album,2017,SUSPEITA,possível duplicata (dup_of_607),,dup_of_607
6873,Roddy Ricch,DaBaby,Rockstar,song,2020,SUSPEITA,possível duplicata (dup_of_240),,dup_of_240
6874,Roddy Ricch,Marshmello,Project Dreams,song,2019,SUSPEITA,possível duplicata (dup_of_3563),,dup_of_3563
6916,Nicki Minaj,Lil Wayne,Truffle Butter,song,2015,SUSPEITA,possível duplicata (dup_of_84),,dup_of_84
6938,Kendrick Lamar,J. Cole,Black Friday,song,2014,SUSPEITA,possível duplicata (dup_of_253),,dup_of_253
6962,Big Sean,Jhené Aiko,Twenty88,album,2016,SUSPEITA,possível duplicata (dup_of_266),,dup_of_266
6981,Don Toliver,Travis Scott,Can't Say,song,2019,SUSPEITA,possível duplicata (dup_of_396),,dup_of_396
7063,City Girls,Cardi B,Twerk,song,2018,SUSPEITA,possível duplicata (dup_of),,dup_of_6911
7117,Jay-Z,Beyoncé,Apeshit,song,2018,SUSPEITA,possível duplicata (dup_of_608),,dup_of_608
7163,Kehlani,Cardi B,Ring,song,2019,SUSPEITA,possível duplicata (dup_of_425),,dup_of_425
7187,Anderson .Paak,Dr. Dre,Meds,song,2016,SUSPEITA,possível duplicata (dup_of_6399),,dup_of_6399
