i,a,b,title,type,year,final,motivo,evidencia,flags
107,Bad Bunny,Shakira,TQG,song,2023,INVALIDA_CONFIRMADA,"TQG é de Karol G com Shakira, não Bad Bunny","Wikipedia/Spotify: 'TQG' é de Karol G feat. Shakira (2023), Bad Bunny não creditado",
118,Kendrick Lamar,Lil Baby,N95,song,2022,INVALIDA_CONFIRMADA,"N95 é solo de Kendrick, sem Lil Baby","Wikipedia: 'N95' de Kendrick Lamar tem Baby Keem, não Lil Baby",
125,Lil Wayne,50 Cent,Ayo Technology,song,2007,INVALIDA_CONFIRMADA,"Ayo Technology é de 50 Cent com Timberlake, sem Lil Wayne","Wikipedia/Discogs: 'Ayo Technology' é 50 Cent feat. Justin Timberlake & Timbaland, sem Lil Wayne",
166,Frank Ocean,Anderson .Paak,Solo (Reprise),song,2016,INVALIDA_CONFIRMADA,"Solo (Reprise) tem André 3000, não Anderson .Paak","Wikipedia: 'Solo (Reprise)' do Blonde é cantada por André 3000, não Anderson .Paak",
183,Charlie Puth,Megan Thee Stallion,Cry Baby,song,2021,INVALIDA_CONFIRMADA,Cry Baby não é dueto Charlie Puth/Megan,"Wikipedia: 'Cry Baby' (2020/2021) é de Megan Thee Stallion feat. DaBaby, não Charlie Puth",
204,Diplo,Major Lazer,Major Lazer Project,album,2015,INVALIDA_CONFIRMADA,não existe álbum chamado Major Lazer Project,Wikipedia: não existe álbum 'Major Lazer Project'; álbum de 2015 do Major Lazer (projeto do Diplo) é 'Peace Is the Mission',
211,David Guetta,Eminem,Not Afraid of the Dark,song,2011,INVALIDA_CONFIRMADA,"Not Afraid é solo do Eminem, faixa fabricada",Wikipedia: 'Not Afraid' (2010) é solo do Eminem (Recovery); não existe faixa 'Not Afraid of the Dark' com David Guetta,
222,Usher,Lil Wayne,OMG,song,2010,INVALIDA_CONFIRMADA,"OMG é com will.i.am, não Lil Wayne","Discogs/IMDb: 'OMG' (2010) de Usher é featuring will.i.am, não Lil Wayne",
227,Sia,Dua Lipa,Genius (LSD),song,2018,INVALIDA_CONFIRMADA,Genius é do LSD; Dua Lipa não participa,"Wikipedia/Discogs: 'Genius' do LSD credita Sia, Diplo, Labrinth; remix tem Lil Wayne, nao Dua Lipa",
603,Gilberto Gil,Gal Costa,Domingo,album,1967,INVALIDA_CONFIRMADA,"Domingo 1967 é de Caetano e Gal, não Gil","Wikipedia: álbum 'Domingo' (1967) é de Gal Costa e Caetano Veloso, não Gilberto Gil",
632,Veigh,WIU,Largado às Traças,song,2022,INVALIDA_CONFIRMADA,"'Largado às Traças' é de Zé Neto e Cristiano, não Veigh×WIU","Letras.mus.br: 'Largado às Traças' é de Zé Neto & Cristiano (sertanejo), não Veigh x WIU",
667,Pitty,Nando Reis,Admirável Chip Novo,album,2003,INVALIDA_CONFIRMADA,"Admirável Chip Novo é álbum solo da Pitty, sem Nando Reis",Wikipedia/Discogs: 'Admirável Chip Novo' (2003) é álbum solo da Pitty; Nando Reis não participa (colab só em 2023),
669,Caetano Veloso,Jorge Ben Jor,Tropicália 2,album,1993,INVALIDA_CONFIRMADA,"Tropicália 2 é de Caetano e Gil, não Jorge Ben Jor","Wikipedia/Discogs: 'Tropicália 2' (1993) é de Caetano Veloso e Gilberto Gil, não Jorge Ben Jor",
848,Kali Uchis,Bad Bunny,Telepatía,feature,2020,INVALIDA_CONFIRMADA,"'Telepatía' é solo Kali Uchis, sem Bad Bunny",Wikipedia: 'Telepatía' é solo de Kali Uchis sem feature; só remixes de fãs com Bad Bunny,
898,Vampire Weekend,Diplo,Hold Up,song,2016,INVALIDA_CONFIRMADA,'Hold Up' não é colaboração Vampire Weekend/Diplo,"Wikipedia: 'Hold Up' é canção da Beyoncé (Lemonade); Ezra Koenig e Diplo só têm crédito de composição, não é colab VW/Diplo",
990,Rema,Ruger,Calm Down (Remix),remix,2021,INVALIDA_CONFIRMADA,"remix de Calm Down é com Selena Gomez, não Ruger","Remix de 'Calm Down' é Rema x Selena Gomez, não Ruger (Wikipedia)",
991,Rema,Ayra Starr,Bloody Samaritan (Remix),remix,2022,INVALIDA_CONFIRMADA,"Bloody Samaritan é da Ayra Starr, não single do Rema","'Bloody Samaritan' é da Ayra Starr e o remix é com Kelly Rowland, não Rema (Spotify/Apple Music)",
992,Rema,Fireboy DML,Bandana,song,2019,INVALIDA_CONFIRMADA,"Bandana é Fireboy×Asake, não Rema×Fireboy","'Bandana' é Fireboy DML feat. Asake, não Rema (Wikipedia/Spotify)",
993,Ayra Starr,Giveon,Commas,song,2021,INVALIDA_CONFIRMADA,"Commas é solo da Ayra Starr, sem Giveon","'Commas' é solo da Ayra Starr, sem Giveon (Wikipedia/Spotify)",
994,Ayra Starr,Cardi B,Bloody Samaritan (Remix),remix,2022,INVALIDA_CONFIRMADA,"remix de Bloody Samaritan foi com Kelly Rowland, não Cardi B","Remix de 'Bloody Samaritan' é com Kelly Rowland, não Cardi B (Spotify/Apple Music)",
996,Ayra Starr,Olamide,Bloody Samaritan,song,2021,INVALIDA_CONFIRMADA,"Bloody Samaritan é solo da Ayra Starr, sem Olamide","'Bloody Samaritan' original é solo da Ayra Starr, sem Olamide (Wikipedia)",
1010,Asake,Rema,Organise,song,2022,INVALIDA_CONFIRMADA,"Organise é solo de Asake, sem Rema","'Organise' é faixa solo de Asake em Mr. Money With The Vibe, sem Rema (Wikipedia/Discogs)",
1019,Olamide,2Baba,Story for the Gods,song,2016,INVALIDA_CONFIRMADA,"Story for the Gods é do Davido, não Olamide×2Baba","'Story for the Gods' é solo do Olamide (prod. Young John, álbum Street OT), sem 2Baba (tooxclusive/audiomack)",
1024,2Baba,P-Square,No One Like You,song,2006,INVALIDA_CONFIRMADA,"No One Like You é da própria P-Square, sem 2Baba","'No One Like You' é da própria P-Square (álbum Game Over), sem 2Baba (Wikipedia P-Square)",
1031,Patoranking,Diamond Platnumz,Girlie O (Remix),remix,2015,INVALIDA_CONFIRMADA,"remix de Girlie O foi com Tiwa Savage, não Diamond Platnumz","'Girlie O (Remix)' credita Patoranking ft. Tiwa Savage, não Diamond Platnumz (BellaNaija/Spotify)",
1049,Niniola,Femi Kuti,Fela Kuti Vibes,song,2020,INVALIDA_CONFIRMADA,"título 'Fela Kuti Vibes' parece fabricado, sem registro","colab real Niniola×Femi Kuti (2020) é 'Fantasy', não 'Fela Kuti Vibes' (OkayAfrica/ChannelsTV)",
1060,Oxlade,Fireboy DML,Ku Lo Sa,song,2021,INVALIDA_CONFIRMADA,"Ku Lo Sa é solo de Oxlade, sem Fireboy","'Ku Lo Sa' é solo de Oxlade (feature notável é com Camila Cabello), sem Fireboy DML (Apple Music)",
