i,a,b,title,type,year,final,motivo,evidencia,flags
924,Wizkid,Davido,Ondo State Vice President,song,2013,INVALIDA_PENDENTE,"título absurdo, fabricação provável",,
927,Burna Boy,Coldplay,Moon Music,song,2024,INVALIDA_PENDENTE,"Moon Music é álbum Coldplay, não feat com Burna",,
956,Davido,Future,Risky,song,2018,INVALIDA_PENDENTE,"Risky é com Popcaan, não Future",,
978,Yemi Alade,Funke Akindele,Oga Oh,song,2021,INVALIDA_PENDENTE,"Funke Akindele é atriz, não cantora; provável fabricação",,
1713,Ivete Sangalo,David Guetta,Mad Love,song,2018,INVALIDA_PENDENTE,par improvável Axé x EDM; 'Mad Love' não é dela,,
1714,Claudia Leitte,Pitbull,We Are One (Ole Ola),song,2014,INVALIDA_PENDENTE,'We Are One' é Pitbull/J.Lo/Claudia Leitte; não esse par bilateral assim,,
1719,Pabllo Vittar,Gloria Groove,Que Tiro Foi Esse?,song,2018,INVALIDA_PENDENTE,"'Que Tiro Foi Esse?' é Jojo Maronttinni, não Pabllo x Gloria",,
1759,Ivete Sangalo,Claudia Leitte,Largadinho,song,2014,INVALIDA_PENDENTE,"'Largadinho' é só da Claudia Leitte, não dueto com Ivete",,
1761,Ivete Sangalo,Léo Santana,Galinha Pintadinha,song,2019,INVALIDA_PENDENTE,'Galinha Pintadinha' não é colaboração Ivete x Léo Santana,,
2304,Chico Buarque,Elis Regina,Elis & Tom,album,1974,INVALIDA_PENDENTE,"Elis & Tom é com Tom Jobim, não Chico Buarque",,
2308,Ivete Sangalo,Anitta,Esse Cara Sou Eu,song,2014,INVALIDA_PENDENTE,"Esse Cara Sou Eu é de Roberto Carlos, não dessa dupla",,
2313,Anitta,Bad Bunny,Ojitos Lindos,song,2022,INVALIDA_PENDENTE,"Ojitos Lindos é Bad Bunny com Bomba Estéreo, não Anitta",,
2333,Froid,Criolo,Convoque Seu Buda,album,2014,INVALIDA_PENDENTE,"Convoque Seu Buda é álbum de Criolo, não parceria com Froid",,
2784,Marisa Monte,Anitta,Ao Vivo,live,2019,INVALIDA_PENDENTE,título genérico; Marisa Monte x Anitta improvável ao vivo,,generic_title
3963,Gzuz,Haftbefehl,Stress ohne Grund,song,2017,INVALIDA_PENDENTE,"'Stress ohne Grund' é de Shindy/Bushido, não Gzuz×Haftbefehl",,
3972,Apache 207,RAF Camora,Komet,song,2022,INVALIDA_PENDENTE,"'Komet' é Apache 207 com Udo Lindenberg, não RAF Camora",,
3987,Casper,Marteria,Mosaik,album,2017,INVALIDA_PENDENTE,"'Mosaik' é álbum solo de Marteria, não dueto com Casper",,
3992,Haftbefehl,Kollegah,Nur ein Wort,song,2009,INVALIDA_PENDENTE,"'Nur ein Wort' é de Wir sind Helden, não Haftbefehl×Kollegah",,
4171,Aurora,Guns N' Roses,Sweet Child of Mine,song,2016,INVALIDA_PENDENTE,cover/cross improvável Aurora x Guns N' Roses,,
5760,Lenny Kravitz,Jay-Z,Guns and Roses,song,2001,INVALIDA_PENDENTE,não existe música 'Guns and Roses' entre Kravitz e Jay-Z,,
5780,Polo G,Lil Baby,Pop Out,song,2019,INVALIDA_PENDENTE,"'Pop Out' é de Polo G com Lil Tjay, não Lil Baby",,
5781,Surfaces,Kid Cudi,Learn to Fly,song,2020,INVALIDA_PENDENTE,"'Learn to Fly' é dos Foo Fighters, não Surfaces/Kid Cudi",,
5786,George Ezra,Dua Lipa,Hold My Girl (Live),live,2019,INVALIDA_PENDENTE,"'Hold My Girl' é solo de George Ezra, sem Dua Lipa",,
5795,Bad Bunny,The Weeknd,Caro,song,2020,INVALIDA_PENDENTE,'Caro' não é colaboração com The Weeknd,,
5800,Bad Bunny,Myke Towers,Si Veo a Tu Mamá,song,2020,INVALIDA_PENDENTE,"'Si Veo a Tu Mamá' é solo de Bad Bunny, sem Myke Towers",,
5820,Daddy Yankee,Don Omar,Conteo,song,2004,INVALIDA_PENDENTE,"'Conteo' é solo de Don Omar, sem Daddy Yankee",,
5825,Daddy Yankee,Psy,Gangnam Style (remix),remix,2012,INVALIDA_PENDENTE,'Gangnam Style Remix' não existe com Daddy Yankee,,
5846,Maluma,Nicki Minaj,Pitbull,song,2018,INVALIDA_PENDENTE,'Pitbull' não é música de Maluma com Nicki Minaj,,
5847,Maluma,Marc Anthony,El Perdedor,song,2021,INVALIDA_PENDENTE,"'El Perdedor' é solo de Maluma, sem Marc Anthony",,
6224,Big Thief,Adrianne Lenker,Two Hands,album,2019,INVALIDA_PENDENTE,"Adrianne Lenker é membro do Big Thief, não colaboração entre pares",,
6228,The Mars Volta,At the Drive-In,Acrobatic Tenement (predecessor band),album,1996,INVALIDA_PENDENTE,"Acrobatic Tenement é álbum do At the Drive-In, não colab entre bandas",,
6230,Eagles of Death Metal,Josh Homme,Peace Love Death Metal,album,2004,INVALIDA_PENDENTE,"Josh Homme é membro do Eagles of Death Metal, não colab entre pares",,
6233,La Femme,Gorillaz,Saturnz Barz (shared tourline Europe),live,2017,INVALIDA_PENDENTE,"par improvável; Saturnz Barz é faixa do Gorillaz, não colab com La Femme",,
6236,Paramore,Zac Farro,After Laughter,album,2017,INVALIDA_PENDENTE,"Zac Farro é baterista do Paramore, não colab entre pares",,
6237,Twenty One Pilots,Stressed Out collab with Kygo,Never Let You Go,song,2015,INVALIDA_PENDENTE,colaboração Twenty One Pilots com Kygo inexistente; título fabricado,,
6238,Fall Out Boy,Courtney Love,Beat It (Mike Shinoda remix) era connection,feature,2008,INVALIDA_PENDENTE,conexão fabricada entre Fall Out Boy e Courtney Love,,
6239,Panic! at the Disco,Brendon Urie,Vices & Virtues,album,2011,INVALIDA_PENDENTE,"Brendon Urie é o Panic! at the Disco, não colab entre pares",,
6240,My Chemical Romance,Gerard Way,The Black Parade,album,2006,INVALIDA_PENDENTE,"Gerard Way é vocalista do MCR, não colab entre pares",,
6248,Tom Morello,Rage Against the Machine,Evil Empire,album,1996,INVALIDA_PENDENTE,Tom Morello é membro do RATM; Evil Empire é álbum da banda,,
6249,Tom Morello,Audioslave,Revelations,album,2006,INVALIDA_PENDENTE,Tom Morello é membro do Audioslave; Revelations é álbum da banda,,
6253,Oasis,Noel Gallagher,(What's the Story) Morning Glory?,album,1995,INVALIDA_PENDENTE,Noel Gallagher é membro do Oasis; álbum da própria banda,,
6255,Radiohead,Portishead,Atoms for Peace co-inspiration / Glastonbury shared bill,live,2013,INVALIDA_PENDENTE,"rótulo fabricado; Atoms for Peace é projeto de Thom Yorke, não colab Radiohead/Portishead",,
6257,Waxahatchee,Katie Crutchfield,Saint Cloud,album,2020,INVALIDA_PENDENTE,Katie Crutchfield é a Waxahatchee; Saint Cloud é álbum dela,,
