i,a,b,title,type,year,final,motivo,evidencia,flags
123,Doja Cat,Megan Thee Stallion,34+35 (Remix),song,2021,RESGATADA,"34+35 Remix é de Ariana Grande, não dueto Doja x Megan","Spotify/Discogs: '34+35 Remix' tem Doja Cat e Megan Thee Stallion juntas (versos), feat. de Ariana Grande",
239,Imagine Dragons,Lil Wayne,Believer (Remix),song,2017,RESGATADA,remix de Believer com Lil Wayne não existe,"whosampled/lilwaynehq: 'Believer (Remix)' feat. Lil Wayne (Imagine Dragons + Lil Wayne, jan/2019) existe",
249,Chance the Rapper,Justin Bieber,Confident (Remix),song,2017,RESGATADA,remix de Confident com Bieber não existe,Wikipedia/Spotify: 'Confident' de Justin Bieber feat. Chance the Rapper (Journals) credita os dois juntos,
363,Sabrina Carpenter,Dolly Parton,Please Please Please,song,2024,RESGATADA,"'Please Please Please' é solo de Sabrina Carpenter, sem Dolly Parton",Existe 'Please Please Please (feat. Dolly Parton)' remix no deluxe de Short n' Sweet com Sabrina e Dolly (open.spotify.com/en.wikipedia.org),
460,Jack White,Beck,Jack White produced sessions,live,2012,RESGATADA,título genérico/fabricado de sessões,"Billboard/American Songwriter: Beck gravou com Jack White no Third Man (~2011-12), releases 'I Just Started Hating Some People Today'/'Blue Randy'",
815,Troye Sivan,Charli XCX,Talk Talk (Troye Sivan),song,2024,RESGATADA,"'Talk Talk' é solo do Troye Sivan, sem Charli",Apple Music/Spotify: 'Talk talk featuring Troye Sivan' creditado a Charli XCX & Troye Sivan (2024),
897,Kid Cudi,Skrillex,Ignite the Love,album,2022,RESGATADA,"título fabricado, sem álbum Kid Cudi/Skrillex",Wikipedia/edm.com: 'Ignite the Love' de Kid Cudi (Entergalactic 2022) tem Skrillex creditado na produção,
1127,AKA,Burna Boy,All Eyes on Me,song,2016,RESGATADA,'All Eyes on Me' AKA com Burna Boy não existe; atribuição falsa,"'All Eyes on Me' de AKA é feat. Burna Boy, Da L.E.S. e JR; Burna Boy consta creditado (wikipedia, spotify, audiomack)",
1714,Claudia Leitte,Pitbull,We Are One (Ole Ola),song,2014,RESGATADA,'We Are One' é Pitbull/J.Lo/Claudia Leitte; não esse par bilateral assim,"'We Are One (Ole Ola)' é creditada a Pitbull feat. Jennifer Lopez & Cláudia Leitte — ambos na faixa (discogs.com, open.spotify.com)",
1926,Alok,Ellie Goulding,All by Myself,song,2020,RESGATADA,'All by Myself' não consta entre Alok e Ellie Goulding,"'All by Myself' (2022) é de Alok, Sigala e Ellie Goulding, ambos creditados (en.wikipedia.org)",
3008,Post Malone,Blake Shelton,Pour Me a Drink (feat. Blake Shelton),song,2024,RESGATADA,"'Pour Me a Drink' é com Luke Combs, não Blake Shelton",Wikipedia/Spotify: 'Pour Me a Drink' de Post Malone é feat. Blake Shelton (2024) confirmado; motivo original errado,
3331,Martin Garrix,David Guetta,So Far Away,song,2017,RESGATADA,"So Far Away é com Goulding/Vassy, não David Guetta",'So Far Away' (2017) é de Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya (en.wikipedia.org/Discogs),
3341,Tiësto,Karol G,Don't Be Shy,song,2021,RESGATADA,Don't Be Shy é Tiësto x Karol G — confere Karol G na verdade,"'Don't Be Shy' (2021) é de Tiësto & Karol G, ambos creditados (en.wikipedia.org)",
3344,Tiësto,Jonas Blue,Rita Ora,song,2020,RESGATADA,título 'Rita Ora' não é música; confusão de dados,Tiësto e Jonas Blue gravaram juntos 'Ritual' (com Rita Ora) em 2019/2020; 'Rita Ora' no título é o 3º artista (en.wikipedia.org),
4273,Rahat Fateh Ali Khan,Pritam,Teri Ore,song,2008,RESGATADA,"'Teri Ore' é de Salim-Sulaiman, não Pritam","'Teri Ore' (Singh Is Kinng 2008) composta por Pritam e cantada por Rahat Fateh Ali Khan; ambos creditados (spotify.com, shazam.com)",
4282,Badshah,Neha Kakkar,Kala Chashma,song,2016,RESGATADA,'Kala Chashma' é de Amar Arshi/Badshah; não tem Neha Kakkar,"'Kala Chashma' (Baar Baar Dekho, 2016) credita Badshah e Neha Kakkar juntos (Spotify/Apple Music)",
4608,Badshah,varun_dhawan,Garmi,song,2019,RESGATADA,"Varun Dhawan é ator, não cantor da faixa",Spotify/Apple Music: 'Garmi' de Street Dancer 3D é creditada Badshah feat. Varun Dhawan (e Neha Kakkar),
4712,Marracash,Gué,Santeria,album,2011,RESGATADA,"Santeria é álbum de Marracash & Gué (2016), não 2011","Wikipedia: 'Santeria' é álbum colaborativo real de Marracash & Guè (junho de 2016; ano do dataset 2011 está errado, mas a dupla é correta)",
5085,Jonghyun,Taeyeon,Lonely,song,2016,RESGATADA,Lonely de 2016 é Jonghyun feat. Taeyeon? duvidoso; canção Lonely é de Jonghyun solo,"Wikipedia/Spotify: 'Lonely' é Jonghyun feat. Taeyeon (Story Op.2, 2017)",
5180,Davichi,T-ara,We Were In Love,song,2012,RESGATADA,We Were In Love é T-ara x Davichi? título atribuído errado,'We Were In Love' é colaboração creditada de T-ara e Davichi (2011/2012) (Wikipedia/CCL),
5376,Gloria Trevi,Karol G,Hijoepu#@ el Momento,song,2021,RESGATADA,"título real é '160' de Gloria Trevi, não com Karol G",Spotify/Milenio: 'Hijoepu*#' é track de Gloria Trevi feat. Karol G no álbum Diosa de la Noche; motivo sobre '160' é incorreto,
5482,Marc Anthony,Gloria Estefan,Mi Tierra,song,2001,RESGATADA,"Mi Tierra é álbum/música solo de Gloria Estefan, não dueto com Marc Anthony",YouTube/Facebook: dueto ao vivo de Gloria Estefan & Marc Anthony cantando 'Mi Tierra' (Live in Atlantis / Latin Billboard),
5483,Celia Cruz,Marc Anthony,Quimbara,song,2000,RESGATADA,Quimbara é de Celia Cruz; não dueto com Marc Anthony,Vimeo/Instagram: Celia Cruz & Marc Anthony interpretam 'Quimbara' ao vivo (Divas Live 2001),
5487,Juan Gabriel,Rocío Dúrcal,Amor Eterno,song,1984,RESGATADA,"Amor Eterno é canção de Juan Gabriel gravada por Rocío Dúrcal, não dueto","Wikipedia: 'Amor Eterno' gravada por Rocío Dúrcal com Juan Gabriel no álbum 'Canta a Juan Gabriel Vol.6' (1984), há versão em dueto",
5745,James Arthur,Anne-Marie,Rewrite the Stars,song,2017,RESGATADA,"'Rewrite the Stars' é trilha Greatest Showman, não James Arthur x Anne-Marie","James Arthur & Anne-Marie gravaram cover 'Rewrite The Stars' juntos (The Greatest Showman: Reimagined), confirmado por Spotify/Wikipedia",
5760,Lenny Kravitz,Jay-Z,Guns and Roses,song,2001,RESGATADA,não existe música 'Guns and Roses' entre Kravitz e Jay-Z,"'Guns & Roses (feat. Lenny Kravitz)' de Jay-Z, álbum The Blueprint 2 (2002) (spotify.com, apple.com)",
5780,Polo G,Lil Baby,Pop Out,song,2019,RESGATADA,"'Pop Out' é de Polo G com Lil Tjay, não Lil Baby","'Pop Out Again (feat. Lil Baby & Gunna)' de Polo G, sequência de 'Pop Out' no álbum Die a Legend (2019), credita ambos (spotify.com, wikipedia.org)",
5939,Camilo,Shakira,Tutu,song,2019,RESGATADA,"Tutu é Camilo e Pedro Capó, não Shakira","Spotify/Discogs: 'Tutu (Remix)' 2019 credita Camilo, Shakira e Pedro Capó juntos",
6224,Big Thief,Adrianne Lenker,Two Hands,album,2019,RESGATADA,"Adrianne Lenker é membro do Big Thief, não colaboração entre pares",Two Hands (2019) e album do Big Thief com Adrianne Lenker como vocalista e autora de todas as faixas (en.wikipedia.org),
6230,Eagles of Death Metal,Josh Homme,Peace Love Death Metal,album,2004,RESGATADA,"Josh Homme é membro do Eagles of Death Metal, não colab entre pares","Josh Homme tocou bateria na maioria das faixas e produziu Peace, Love, Death Metal (2004) do Eagles of Death Metal (en.wikipedia.org)",
6236,Paramore,Zac Farro,After Laughter,album,2017,RESGATADA,"Zac Farro é baterista do Paramore, não colab entre pares","Zac Farro voltou ao Paramore e tocou bateria, percussao e vocais em After Laughter (2017) (en.wikipedia.org)",
6239,Panic! at the Disco,Brendon Urie,Vices & Virtues,album,2011,RESGATADA,"Brendon Urie é o Panic! at the Disco, não colab entre pares",Brendon Urie gravou Vices & Virtues (2011) como vocalista e multi-instrumentista do Panic! at the Disco (en.wikipedia.org),
6240,My Chemical Romance,Gerard Way,The Black Parade,album,2006,RESGATADA,"Gerard Way é vocalista do MCR, não colab entre pares",Gerard Way e o vocalista principal de The Black Parade (2006) do My Chemical Romance (en.wikipedia.org),
6248,Tom Morello,Rage Against the Machine,Evil Empire,album,1996,RESGATADA,Tom Morello é membro do RATM; Evil Empire é álbum da banda,"Tom Morello e o guitarrista do RATM em Evil Empire (1996), formacao Morello/De la Rocha/Commerford/Wilk (en.wikipedia.org, equipboard.com)",
6249,Tom Morello,Audioslave,Revelations,album,2006,RESGATADA,Tom Morello é membro do Audioslave; Revelations é álbum da banda,"Tom Morello tocou guitarra em Revelations (2006) do Audioslave (en.wikipedia.org, discogs.com)",
6253,Oasis,Noel Gallagher,(What's the Story) Morning Glory?,album,1995,RESGATADA,Noel Gallagher é membro do Oasis; álbum da própria banda,"Album real do Oasis (1995); Noel Gallagher e creditado como compositor unico, guitarrista e coprodutor do disco (en.wikipedia.org)",
6257,Waxahatchee,Katie Crutchfield,Saint Cloud,album,2020,RESGATADA,Katie Crutchfield é a Waxahatchee; Saint Cloud é álbum dela,"Saint Cloud (2020, Merge) e album real de Waxahatchee, projeto de Katie Crutchfield — mesma artista nos creditos (en.wikipedia.org, forbes.com)",
6258,Hand Habits,Meg Duffy,Fun House,album,2019,RESGATADA,Meg Duffy é a Hand Habits; álbum do mesmo projeto,"Fun House e album real de Hand Habits, projeto de Meg Duffy (lancado em 2021, nao 2019) (handhabits.bandcamp.com, thefader.com)",
6259,Cat Power,Chan Marshall,You Are Free,album,2003,RESGATADA,Chan Marshall é a Cat Power; You Are Free é álbum dela,"You Are Free (2003, Matador) e album real de Cat Power, nome artistico de Chan Marshall (en.wikipedia.org, discogs.com)",
7408,Sauti Sol,Bien Aime,Midnight Train,song,2022,RESGATADA,"Bien Aime é membro do Sauti Sol, não feature separado; Midnight Train é solo do grupo","Wikipedia: Bien-Aimé Baraza é o vocalista principal do Sauti Sol, que gravou 'Midnight Train' (2020); ambos performam na faixa",
7807,Geraldo Azevedo,Alceu Valença,Anunciação,song,1997,RESGATADA,"Anunciação é hit solo de Alceu Valença, não parceria com Geraldo","'Anunciação' aparece nos álbuns ao vivo O Grande Encontro (1996/2016) creditados a Alceu Valença, Elba Ramalho e Geraldo Azevedo juntos (spotify.com, music.apple.com)",
8127,Anitta,Pabllo Vittar,Sua Cara (feat. J Balvin),feature,2017,RESGATADA,"Sua Cara é Major Lazer feat Anitta e Pabllo, não feat J Balvin","'Sua Cara' (2017) de Major Lazer credita Anitta e Pabllo Vittar juntas como feats (sem J Balvin) (open.spotify.com, imdb.com)",
8181,Cidade Negra,Natiruts,Reggae no Brasil,live,2002,RESGATADA,título genérico Reggae no Brasil parece fabricado,Toni Garrido (Cidade Negra) canta 'A Sombra da Maldade' no álbum/DVD ao vivo 'Natiruts Reggae Brasil' (2015) — radiorock.com.br/rollingstone.com.br,
8460,Chris Stapleton,Justin Timberlake,Tennessee Whiskey,song,2015,RESGATADA,Tennessee Whiskey é de Stapleton; gravou ao vivo com JT no CMA mas não é single conjunto creditado,Billboard/Rolling Stone: Stapleton e Justin Timberlake fizeram dueto documentado de 'Tennessee Whiskey' no CMA 2015 (04/11/2015),
8705,Tasha Cobbs Leonard,Nicki Minaj,I'm Getting Ready,song,2017,RESGATADA,"Tasha Cobbs feat. Nicki Minaj inexistente, fabricação",Billboard/Spotify: 'I'm Getting Ready' de Tasha Cobbs Leonard feat. Nicki Minaj (2017) confirmada,
8935,beabadoobee,Powfu,Death Bed (Coffee for Your Head),song,2020,RESGATADA,"'Death Bed' é de Powfu com Beabadoobee (sample), mas crédito incerto e provável confusão; sem feature real desse formato",Discogs/Wikipedia/IMDb: 'death bed (coffee for your head)' creditada 'Powfu Feat. beabadoobee',
8996,Weyes Blood,Father John Misty,God's Favorite Customer Feature,song,2018,RESGATADA,'God's Favorite Customer' é álbum do Father John Misty; feature de Weyes Blood inexistente,Under the Radar/Wikipedia: faixa-título 'God's Favorite Customer' de Father John Misty tem feat. Weyes Blood,
9619,Oruam,MC Cabelinho,Poesia Acústica,song,2022,RESGATADA,"Poesia Acústica é série do Pineapple, não dessa dupla isolada","Poesia Acústica #13 (set/2022, Pineapple) credita Oruam E MC Cabelinho juntos na faixa, com Luísa Sonza, Xamã, L7NNON etc. (polifoniaperiferica.com.br, letras.mus.br)",
10474,F.HERO,Milli,Mirror Mirror,song,2022,RESGATADA,"'Mirror Mirror' é solo da Milli, não colab com F.HERO","'Mirror Mirror' credita F.HERO, MILLI e Changbin juntos (open.spotify.com/letras.com)",
10847,Chico Buarque,Milton Nascimento,Clube da Esquina 2,album,1978,RESGATADA,Clube da Esquina 2 (1978) é de Milton; Chico não é co-autor do álbum,"Chico Buarque canta em 'Clube da Esquina 2' (1978) de Milton, faixa 'Canción por la Unidad de Latino America' (Wikipedia)",
10856,Tom Jobim,João Gilberto,Chega de Saudade,album,1975,RESGATADA,"'Chega de Saudade' (1959) é álbum solo de João Gilberto, não dupla com Tom em 1975",'Chega de Saudade' (1959) é álbum de João Gilberto com Tom Jobim como diretor/arranjador/pianista (Wikipedia/AllMusic),
11256,Freddie Stone,Sly Stone,Thank You (Falettinme Be Mice Elf Agin),song,1969,RESGATADA,"Thank You é do Sly & the Family Stone, não dueto Freddie/Sly",'Thank You (Falettinme Be Mice Elf Agin)' credita Sly Stone e Freddie Stone na mesma gravação da Family Stone (en.wikipedia.org),
11285,Tom Jones,Robbie Williams,Are You Gonna Go My Way,song,1998,RESGATADA,"Are You Gonna Go My Way é de Lenny Kravitz, não Tom Jones/Robbie",'Are You Gonna Go My Way' é cover de Tom Jones com Robbie Williams no álbum Reload 1999 (Wikipedia/WhoSampled),
11304,The Skatalites,Bob Marley,Simmer Down,song,1964,RESGATADA,"Simmer Down é dos Wailers/Bob Marley com Skatalites como backing, não dueto Marley",Simmer Down (1964) creditado como The Skatalites feat. Bob Marley & the Wailers (Wikipedia/theskatalites.bandcamp),
11462,Nirvana,David Bowie,The Man Who Sold the World,song,1993,RESGATADA,"cover do Nirvana de música do Bowie, não colaboração","gravacao real: Nirvana no MTV Unplugged (nov 1993) interpretou 'The Man Who Sold the World', com David Bowie creditado como compositor (en.wikipedia.org)",
11478,The Vandellas,Marvin Gaye,Dancing in the Street,song,1964,RESGATADA,"'Dancing in the Street' é de Martha & the Vandellas, não de Marvin Gaye","'Dancing in the Street' (1964) de Martha and the Vandellas foi coescrita por Marvin Gaye, creditado na gravacao (en.wikipedia.org, loc.gov)",
11485,Snow Patrol,Gary Lightbody,Run (covered by Leona Lewis),song,2008,RESGATADA,"Lightbody é o vocalista do Snow Patrol, não colaboração externa","'Run' (2004) e do Snow Patrol, escrita e cantada pelo vocalista Gary Lightbody; ambos na gravacao (en.wikipedia.org)",
11487,Geri Halliwell,Spice Girls,Wannabe,song,1996,RESGATADA,"Geri Halliwell é membro das Spice Girls, não colaboração",Geri Halliwell e membro das Spice Girls e canta partes solo em 'Wannabe' (1996) (en.wikipedia.org),
11488,Morrissey,Johnny Marr,This Charming Man (The Smiths),song,1983,RESGATADA,"Morrissey e Marr são The Smiths, não colaboração externa","'This Charming Man' (1983) escrita por Johnny Marr e Morrissey, ambos performam na gravacao dos Smiths (en.wikipedia.org)",
12063,Marvin Gaye,Diana Ross,You Are Everything,song,1974,RESGATADA,"'You Are Everything' é dueto Diana Ross & Marvin Gaye, mas não desse ano/forma confiável",Wikipedia/uDiscover: 'You Are Everything' é dueto Diana Ross & Marvin Gaye do álbum 'Diana & Marvin' (single UK #5 abril 1974),
12070,The Four Tops,The Supremes,The Magnificent 7,album,1970,RESGATADA,'The Magnificent 7' é álbum Supremes & Four Tops mas título/atribuição duvidosa,"Wikipedia: 'The Magnificent 7' (1970, Motown) é álbum colaborativo de The Supremes & The Four Tops",
12276,Pharrell Williams,Nelly,Hot in Herre,feature,2002,RESGATADA,"'Hot in Herre' é Nelly produzido por Pharrell/Neptunes, não feature de Pharrell","'Hot in Herre' foi produzida e coescrita por Pharrell (The Neptunes) para Nelly — colaboração genuína creditada (en.wikipedia.org, songfacts.com)",
12277,Pharrell Williams,Gwen Stefani,Hollaback Girl,feature,2004,RESGATADA,"'Hollaback Girl' é Gwen Stefani produzida por Pharrell, não feature dele","'Hollaback Girl' foi coescrita por Stefani, Pharrell e Chad Hugo e produzida pelos Neptunes — colaboração genuína (en.wikipedia.org)",
12301,Sia,Diplo,Elastic Heart,feature,2014,RESGATADA,"'Elastic Heart' Sia produzida com Diplo/Greg Kurstin, não feature de Diplo","'Elastic Heart' (trilha Catching Fire, 2013) creditada como Sia feat. The Weeknd & Diplo (wikipedia.org, open.spotify.com)",
12510,Maren Morris,Hozier,The Bones,song,2019,RESGATADA,The Bones é de Maren Morris sozinha; Hozier não participa,Rolling Stone/Spotify: existe versão oficial 'The Bones (with Hozier)' lançada em out/2019 creditando ambos,
12720,Pharrell,Kanye West,Number One,song,2005,RESGATADA,Number One é Pharrell com Kanye? título não confere,"'Number One' é de Pharrell Williams feat. Kanye West, do álbum In My Mind (en.wikipedia.org, spotify.com)",
13280,Ivano Fossati,Fabrizio De André,Le nuvole,album,1990,RESGATADA,"Le nuvole é álbum solo De André, não colab Fossati",Wikipedia it: em 'Le nuvole' (1990) Fossati co-escreve 'Mégu megún' e ''Â çímma' com De André,
13562,Craig David TS5,Sigala,Ain't Giving Up,song,2016,RESGATADA,Ain't Giving Up é Craig David com Sigala mas não TS5 set; crédito incerto,Wikipedia/Discogs: 'Ain't Giving Up' (2016) é de Craig David & Sigala juntos,
13666,Dan + Shay,Kelly Clarkson,Keeping Score,song,2018,RESGATADA,Keeping Score é de Dan+Shay feat. Kelly mas título/parceria não confirmo solidamente; troca dúbia,"'Keeping Score' (2018) é de Dan + Shay feat. Kelly Clarkson, ambos creditados (en.wikipedia.org, open.spotify.com)",
13671,Toby Keith,Sting,I'm So Happy I Can't Stop Crying,song,1997,RESGATADA,"I'm So Happy é de Sting solo, não dueto com Toby Keith","'I'm So Happy I Can't Stop Crying' (1997, Dream Walkin') é dueto Toby Keith com Sting, ambos cantam (en.wikipedia.org, songfacts.com)",
13776,Block B,Bastarz,Conduct Zero,album,2015,RESGATADA,Conduct Zero nao é album Block B x Bastarz,Wikipedia/Spotify: EP 'Conduct Zero' (2015) creditado a 'Block B - BASTARZ' (sub-unidade do Block B),
13912,Jon Secada,Gloria Estefan,Just Another Day,song,1992,RESGATADA,'Just Another Day' é solo de Jon Secada,"Discogs/Wikipedia: Gloria Estefan faz backing vocals em 'Just Another Day' de Jon Secada (creditada, cortesia Epic)",
14160,Sheek Louch,The LOX,"Money, Power & Respect",album,1998,RESGATADA,"'Money Power Respect' é single, álbum é do The LOX 1998","Wikipedia: album 'Money, Power & Respect' (1998) e do The LOX, grupo do qual Sheek Louch e membro",
14237,Usher,Nicki Minaj,Little Freak,song,2010,RESGATADA,"'Little Freak' é de Steve Lacy, não Usher x Nicki Minaj","'Lil Freak' (2010) de Usher traz feat. de Nicki Minaj, single de Raymond v. Raymond (wikipedia/spotify)",
14289,21 Savage,Childish Gambino,Monster,song,2017,RESGATADA,'Monster' 21 Savage x Childish Gambino não é faixa real,"'Monster' é faixa real de 21 Savage feat. Childish Gambino do álbum I Am > I Was 2018 (en.wikipedia.org, rollingstone.com)",
14310,Lil Nas X,Nas,Rodeo,song,2019,RESGATADA,"'Rodeo' do Lil Nas X é com Cardi B, não com Nas","Existe remix oficial de 'Rodeo' de Lil Nas X com Nas, lançado em 27/01/2020 (Spotify credita 'Rodeo - feat. Nas'; Wikipedia)",
14431,BTS,Fall Out Boy,Champion,song,2017,RESGATADA,"'Champion' é música do Fall Out Boy, não feat BTS",remix de 'Champion' do Fall Out Boy traz RM do BTS (2017) (billboard.com),
14436,LiSA,DJ Snake,SG,song,2021,RESGATADA,'SG' é single Lisa Blackpink; título ultracurto e LiSA errada,'SG' (2021) credita DJ Snake e LISA de Blackpink juntos (en.wikipedia.org),ultrashort_title
14437,LiSA,Ozuna,SG,song,2021,RESGATADA,'SG' é single Lisa Blackpink; título ultracurto e LiSA errada,'SG' (2021) de DJ Snake credita Ozuna e LISA juntos na mesma faixa (en.wikipedia.org/Spotify),ultrashort_title
14490,Beyoncé,Andre 3000,Back to Black,song,2007,RESGATADA,'Back to Black' é da Amy Winehouse; não é feat Beyoncé/Andre 3000 em 2007,"Beyoncé & André 3000 gravaram cover de 'Back to Black' para trilha de The Great Gatsby (2013) (rollingstone.com, music.apple.com)",
14560,Avicii,Coldplay,A Sky Full of Stars,song,2014,RESGATADA,"'A Sky Full of Stars' é do Coldplay, produzido por Avicii mas não feat","Avicii co-escreveu, co-produziu e tocou piano em 'A Sky Full of Stars' do Coldplay (2014) (en.wikipedia.org)",
14781,J-Hope,BTS,Dynamite,song,2020,RESGATADA,"'Dynamite' é do BTS inteiro, não feat de J-Hope","Dynamite (2020) e do BTS e J-Hope, membro do grupo, canta na gravacao junto aos outros seis (en.wikipedia.org, variety.com)",
14829,The Weeknd,SZA,Die for You (Remix),song,2023,RESGATADA,"remix de 'Die for You' é com Ariana Grande, não SZA",Remix de 'Die For You' com SZA existe e estreou no programa Memento Mori do The Weeknd em 2021 (nao lancado oficialmente; o remix oficial de 2023 e com Ariana Grande) (wikipedia.org),
14844,Sia,LSD,Audio,song,2019,RESGATADA,título 'Audio' genérico; LSD é grupo da própria Sia,"'Audio' (2018) e do LSD com credito 'feat. Sia, Diplo & Labrinth'; Sia e integrante e vocalista do grupo (music.apple.com, grammy.com)",
15407,Taylor Swift,Paula Fernandes,Long Live,song,2012,RESGATADA,par improvável Taylor Swift/Paula Fernandes; 'Long Live' é solo de Taylor,Wikipedia/Apple Music: versao 2012 de 'Long Live' feat. Paula Fernandes com versos em portugues,
15705,LiSA,Rosalía,New Woman,song,2024,RESGATADA,"New Woman é de Lisa BLACKPINK com Rosalía, não LiSA J-Pop","'New Woman' (2024) é de Lisa feat. Rosalía, ambas creditadas juntas na faixa (en.wikipedia New Woman song, spotify)",
15718,Imagine Dragons,Arcane,Enemy,song,2021,RESGATADA,"Arcane é série/trilha, não artista; Enemy é Imagine Dragons com JID","Spotify credita a faixa 'Enemy' como Imagine Dragons, JID, Arcane, League of Legends; 'Arcane' aparece como artista creditado (open.spotify.com)",
15866,Lana Del Rey,Billie Eilish,Ocean Eyes (Remix),song,2019,RESGATADA,"remix cruzado fabricado, 'Ocean Eyes' é da Billie",iHeartRadio/YouTube: Lana Del Rey e Billie Eilish cantaram 'Ocean Eyes' juntas ao vivo (Coachella 2024),
15931,Megan Thee Stallion,Dua Lipa,Sweetest Pie (BTS live),live,2022,RESGATADA,"título confuso mistura BTS e Dua Lipa, live improvável",Wikipedia/Spotify: 'Sweetest Pie' (2022) é dueto oficial de Megan Thee Stallion e Dua Lipa,
15960,Juice WRLD,Suga,Girl of My Dreams (Remix),song,2020,RESGATADA,cross-cultural improvável Juice WRLD/Suga BTS remix fabricado,Wikipedia/Spotify: 'Girl of My Dreams' credita Juice WRLD com SUGA do BTS (lançada 2021),
16457,RM,Lil Nas X,Seoul Town Road,song,2019,RESGATADA,"'Seoul Town Road' é RM com Lil Nas X, mas título/atribuição confusa",Spotify/Billboard: 'Old Town Road (feat. RM of BTS) [Seoul Town Road Remix]' (2019) credita Lil Nas X e RM juntos,
16659,Wiz Khalifa,Fall Out Boy,Uma Thurman,song,2015,RESGATADA,Uma Thurman é do Fall Out Boy sozinho,"Existe 'Uma Thurman (Remix)' do Fall Out Boy feat. Wiz Khalifa (Boys of Zummer, 2015) (music.apple.com, open.spotify.com)",
16931,Justin Bieber,Jeff Bridges,We Are the World,song,2010,RESGATADA,"Jeff Bridges é ator, não vocalista do coletivo",Wikipedia/Songfacts: Jeff Bridges e Justin Bieber estão entre os ~100 artistas de 'We Are the World 25 for Haiti' (2010),
16949,Justin Bieber,Rashida Jones,We Are the World,song,2010,RESGATADA,"Rashida Jones é atriz, não vocalista do coletivo",Wikipedia/IMDb: Rashida Jones e Justin Bieber constam no coletivo 'We Are the World 25 for Haiti' (2010),
16950,Justin Bieber,Jimmy Jean-Louis,We Are the World,song,2010,RESGATADA,"Jimmy Jean-Louis é ator, não vocalista",Songfacts: Jimmy Jean-Louis (ator haitiano) aparece no coro de 'We Are the World 25 for Haiti' com Justin Bieber,
16959,Justin Bieber,Nicole Richie,We Are the World,song,2010,RESGATADA,Nicole Richie não é vocalista do coletivo,Wikipedia/IMDb: Nicole Richie e Justin Bieber constam na lista de vocalistas de 'We Are the World 25 for Haiti' (2010),
16966,Justin Bieber,Vince Vaughn,We Are the World,song,2010,RESGATADA,"Vince Vaughn é ator, não vocalista do coletivo",Wikipedia/IMDb: Vince Vaughn e Justin Bieber aparecem entre os participantes de 'We Are the World 25 for Haiti' (2010),
17421,Pharrell Williams,Nelly,Hot in Herre,song,2002,RESGATADA,"Hot in Herre é só de Nelly, Pharrell não participa",'Hot in Herre' de Nelly foi produzida e co-escrita por Pharrell (The Neptunes) (Wikipedia/uDiscover),dup_of_12276
18046,"Tyler, The Creator",Slow Thai,WHAT'S GOOD,song,2019,RESGATADA,'WHAT'S GOOD' é solo do IGOR,"crackmagazine/YouTube: 'WHAT'S GOOD (feat. slowthai & Jerrod Carmichael)', slowthai nos backing vocals",
