i,a,b,title,type,year,final,motivo,evidencia,flags
0,Drake,Rihanna,Work,song,2016,SUSPEITA,"colaboração real (Work) mas flag near_dup, possível duplicata",,near_dup_pair3188
7,Drake,Justin Bieber,Right Here,song,2012,SUSPEITA,não recordo música Right Here de Drake com Bieber em 2012,,
13,Rihanna,Jay-Z,Umbrella,song,2007,SUSPEITA,"Umbrella real com Jay-Z mas flag near_dup, possível duplicata",,near_dup_pair14819
17,Rihanna,Chris Brown,Turn Up the Music (Remix),song,2012,SUSPEITA,remix Turn Up the Music; não confirmo participação de Rihanna,,
25,Kanye West,Pharrell Williams,Number One,song,2007,SUSPEITA,não recordo música Number One com Pharrell em 2007,,
36,Jay-Z,Kendrick Lamar,"Bitch, Don't Kill My Vibe (Remix)",song,2013,SUSPEITA,remix Bitch Don't Kill My Vibe; não confirmo verso de Jay-Z,,
54,Ed Sheeran,Coldplay,Fix You (Live),live,2021,SUSPEITA,live Fix You com Coldplay não documentada com firmeza,,
56,Ed Sheeran,BTS,Permission to Dance,song,2021,SUSPEITA,Permission to Dance escrita por Ed mas não é feat creditado com BTS,,
57,Ed Sheeran,Bruno Mars,Blow,song,2019,SUSPEITA,"Blow é Ed Sheeran com Chris Stapleton e Bruno Mars, ano confere mas incerto",,
61,Taylor Swift,Kendrick Lamar,Bad Blood (Remix),song,2015,SUSPEITA,remix Bad Blood é com Kendrick? confirmo Kendrick no remix 2015,,
62,Taylor Swift,Shawn Mendes,Lover (Remix),song,2019,SUSPEITA,remix Lover com Shawn Mendes existe; manter cautela,,
63,Taylor Swift,Lorde,Royals (Live Duet),live,2014,SUSPEITA,live duet Royals com Lorde não documentada com firmeza,,
79,Justin Bieber,Chance the Rapper,Confident,song,2013,SUSPEITA,"Confident de Justin Bieber com Chance; flag near_dup, possível duplicata",,near_dup_pair249
80,Justin Bieber,Travis Scott,Second Emotion,song,2021,SUSPEITA,Second Emotion de Justin com Travis é 2019 não 2021; ano duvidoso,,
81,Justin Bieber,Lil Baby,Forever,song,2020,SUSPEITA,não recordo Forever de Bieber com Lil Baby em 2020,,
82,Justin Bieber,Khalid,As I Am,song,2021,SUSPEITA,As I Am de Justin com Khalid existe (Justice 2021); manter cautela,,
90,Travis Scott,Kendrick Lamar,goosebumps,song,2016,SUSPEITA,"colaboração real porém flag near_dup, possível duplicata",,near_dup_pair12242
91,Travis Scott,Metro Boomin,Heroes & Villains,album,2022,SUSPEITA,"álbum é do Metro Boomin, não joint Travis x Metro",,
96,Post Malone,Wiz Khalifa,No Reason,song,2019,SUSPEITA,não recordo No Reason entre eles,,
108,Bruno Mars,Anderson .Paak,Silk Sonic,album,2021,SUSPEITA,"Silk Sonic real porém flag near_dup, possível duplicata",,near_dup_pair17152
119,SZA,Drake,Slime You Out,song,2023,SUSPEITA,"Slime You Out real porém flag dup_of_11, possível duplicata",,dup_of_11
132,Dr. Dre,50 Cent,In Da Club,song,2003,SUSPEITA,"In Da Club é single solo de 50 Cent produzido por Dre, não feature",,
137,Calvin Harris,Pharrell Williams,Feels,live,2017,SUSPEITA,"versão live com flag dup_of_136, possível duplicata",,dup_of_136
140,Marshmello,Justin Bieber,Set Me Free,song,2023,SUSPEITA,não recordo Set Me Free entre Marshmello e Bieber,,
148,Future,Young Thug,Relationship,song,2017,SUSPEITA,"Relationship real porém flag near_dup, possível duplicata",,near_dup_pair6796
149,Future,Metro Boomin,Heroes & Villains,album,2022,SUSPEITA,"álbum do Metro Boomin, não joint Future x Metro",,
150,Future,Lil Baby,Out of Time,song,2020,SUSPEITA,não confirmo Out of Time entre Future e Lil Baby,,
151,Metro Boomin,Future,Heroes & Villains,album,2022,SUSPEITA,"flag dup_of_149, possível duplicata",,dup_of_149
157,Pharrell Williams,Snoop Dogg,Beautiful (Live),live,2003,SUSPEITA,Beautiful é real porém versão live não confirmo,,
159,Daft Punk,Kanye West,Stronger,song,2007,SUSPEITA,"Stronger usa sample de Daft Punk, não feature direto",,
163,"Tyler, The Creator",Lil Uzi Vert,FIRESTARTER,song,2021,SUSPEITA,não recordo FIRESTARTER entre Tyler e Lil Uzi,,
167,Young Thug,Gunna,Drip or Drown 2,album,2019,SUSPEITA,"Drip or Drown 2 é álbum solo de Gunna, não joint com Thug",,
169,Young Thug,Lil Uzi Vert,Got the Guap,song,2018,SUSPEITA,não confirmo Got the Guap entre eles,,
175,Childish Gambino,Chance the Rapper,They Don't Like Me,song,2013,SUSPEITA,não recordo They Don't Like Me entre eles,,
177,Cardi B,Maroon 5,Girls Like You,song,2018,SUSPEITA,"Girls Like You real porém flag near_dup, possível duplicata",,near_dup_pair6163
178,Cardi B,Bruno Mars,Finesse (Remix),song,2018,SUSPEITA,"Finesse Remix real porém flag dup_of_109, possível duplicata",,dup_of_109
188,Migos,Offset,Culture III,album,2021,SUSPEITA,"Offset é membro do Migos, par redundante e álbum",,
189,Migos,Quavo,Culture III,album,2021,SUSPEITA,"Quavo é membro do Migos, par redundante e álbum",,
190,Offset,Quavo,Culture,album,2017,SUSPEITA,"ambos membros do Migos, atribuição de álbum estranha",,
195,Lil Baby,Young Thug,Bad Boy,song,2020,SUSPEITA,não recordo Bad Boy entre esses dois,,
196,Gorillaz,Snoop Dogg,Welcome to the World of the Plastic Beach,album,2010,SUSPEITA,título de faixa de Plastic Beach usado como álbum,,
197,Gorillaz,George Benson,Humility (Live),live,2018,SUSPEITA,Benson tocou em Humility mas versão ao vivo incerta,,
199,Elton John,Stevie Wonder,That's What Friends Are For (Live),live,1985,SUSPEITA,"música é coletiva, atribuição ao vivo incerta",,
215,James Blake,A$AP Rocky,Hindsight,song,2016,SUSPEITA,não recordo Hindsight entre os dois,,
229,Sia,David Guetta,Titanium,song,2011,SUSPEITA,possível duplicata de 212,,dup_of_212
242,Swae Lee,Post Malone,Sunflower,song,2018,SUSPEITA,possível duplicata de 93,,dup_of_93
